,id,user_id,name,time
67,11247,92034,Viewed Subscription,2022-02-05
68,11251,92034,Viewed Subscription,2022-02-05
69,11288,91542,Viewed Subscription,2022-02-05
70,11396,92035,Viewed Subscription,2022-02-05
71,11465,92036,Viewed Subscription,2022-02-05
72,11586,76603,Viewed Subscription,2022-02-05
73,11746,92038,Viewed Subscription,2022-02-05
74,11772,92038,Viewed Subscription,2022-02-05
75,11792,92038,Viewed Subscription,2022-02-05
76,11895,92039,Viewed Subscription,2022-02-05
77,11976,35617,Viewed Subscription,2022-02-05
78,12041,92040,Viewed Subscription,2022-02-05
79,12046,91294,Viewed Subscription,2022-02-05
80,12093,78047,Viewed Subscription,2022-02-05
81,12253,78047,Viewed Subscription,2022-02-05
82,12296,92045,Viewed Subscription,2022-02-05
83,13266,92054,Viewed Subscription,2022-02-05
84,13316,92055,Viewed Subscription,2022-02-05
85,13449,92057,Viewed Subscription,2022-02-06
86,13413,92055,Viewed Subscription,2022-02-05
87,13970,92059,Viewed Subscription,2022-02-06
88,13978,92059,Viewed Subscription,2022-02-06
89,14167,92062,Viewed Subscription,2022-02-06
90,14229,92062,Viewed Subscription,2022-02-06
91,14233,92062,Viewed Subscription,2022-02-06
92,14347,92065,Viewed Subscription,2022-02-06
93,14754,32459,Viewed Subscription,2022-02-06
94,14949,64282,Viewed Subscription,2022-02-06
95,15002,92071,Viewed Subscription,2022-02-06
96,15083,92067,Viewed Subscription,2022-02-06
97,15198,92074,Viewed Subscription,2022-02-06
98,15272,92075,Viewed Subscription,2022-02-06
99,15471,91517,Viewed Subscription,2022-02-06
100,15534,88789,Viewed Subscription,2022-02-06
101,15612,88789,Viewed Subscription,2022-02-06
102,15600,91800,Viewed Subscription,2022-02-06
103,15940,76794,Viewed Subscription,2022-02-06
104,15960,76794,Viewed Subscription,2022-02-06
105,16167,92085,Viewed Subscription,2022-02-06
106,16759,92090,Viewed Subscription,2022-02-06
107,16353,92089,Viewed Subscription,2022-02-06
108,16405,92081,Viewed Subscription,2022-02-06
