,id,user_id,end_date,price,created_at,refund,target_customer
255,2481,1227,2019-11-09,100.0,2019-10-09,0,personal
256,2494,7244,2019-11-09,9900.0,2019-10-10,0,personal
257,2495,8840,2019-11-09,9900.0,2019-10-10,0,personal
258,2497,10058,2019-11-10,100.0,2019-10-10,1.0,middleBiz
259,2500,9952,2019-11-10,100.0,2019-10-10,0,personal
260,2503,10101,2019-11-11,100.0,2019-10-11,0,personal
261,2507,8775,2019-11-10,9900.0,2019-10-11,0,personal
262,2508,7586,2019-11-10,9900.0,2019-10-11,0,personal
263,2509,8742,2019-11-10,9900.0,2019-10-11,0,personal
264,2510,8831,2019-11-10,9900.0,2019-10-11,0,personal
265,2512,10114,2019-11-11,100.0,2019-10-11,0,personal
266,2537,10143,2019-11-11,100.0,2019-10-11,0,personal
267,2560,10053,2019-11-12,100.0,2019-10-12,0,personal
268,2568,3551,2019-11-11,9900.0,2019-10-12,0,personal
269,2570,10162,2019-11-12,100.0,2019-10-12,0,personal
270,2588,10179,2019-11-12,100.0,2019-10-12,0,personal
271,2611,10189,2019-11-12,100.0,2019-10-12,0,personal
272,2614,8919,2019-11-12,9900.0,2019-10-13,0,personal
273,2615,9924,2019-11-13,100.0,2019-10-13,0,personal
274,2637,10193,2019-11-13,100.0,2019-10-13,0,personal
275,2644,9108,2019-11-13,100.0,2019-10-13,0,personal
276,2648,10224,2019-11-13,100.0,2019-10-13,0,personal
277,2649,10225,2019-11-13,100.0,2019-10-13,0,personal
278,2664,10242,2019-11-14,100.0,2019-10-14,0,personal
279,2666,8961,2019-11-13,9900.0,2019-10-14,0,personal
280,2698,10272,2019-11-14,100.0,2019-10-14,0,personal
281,2715,10314,2019-11-15,100.0,2019-10-15,0,personal
282,2739,9016,2019-11-15,9900.0,2019-10-16,0,personal
283,2740,8494,2019-11-15,9900.0,2019-10-16,0,personal
284,2741,7829,2019-11-15,9900.0,2019-10-16,0,personal
285,2745,10371,2019-11-16,100.0,2019-10-16,0,personal
286,2757,6704,2019-11-16,9900.0,2019-10-17,0,personal
287,2758,4709,2019-11-16,9900.0,2019-10-17,0,personal
288,2759,10419,2019-11-17,100.0,2019-10-17,0,personal
289,2764,10433,2019-11-17,100.0,2019-10-17,0,personal
290,2787,9831,2019-11-18,100.0,2019-10-18,0,personal
291,2813,9096,2019-11-17,9900.0,2019-10-18,0,personal
292,2816,10435,2019-11-18,100.0,2019-10-18,0,personal
293,2830,1365,2019-11-18,100.0,2019-10-18,0,personal
294,2833,10107,2019-11-19,19000.0,2019-10-19,0,smallBiz
295,2835,9151,2019-11-18,9900.0,2019-10-19,0,personal
296,2836,9164,2019-11-18,9900.0,2019-10-19,0,personal
297,2837,9174,2019-11-18,9900.0,2019-10-19,0,personal
298,2841,10431,2019-11-19,100.0,2019-10-19,0,personal
299,2858,9200,2019-11-19,9900.0,2019-10-20,0,personal
300,2859,10552,2019-11-20,100.0,2019-10-20,0,personal
301,2862,9808,2019-11-20,100.0,2019-10-20,0,personal
302,2876,10585,2019-11-20,100.0,2019-10-20,0,personal
303,2882,10593,2019-11-20,100.0,2019-10-20,0,personal
304,2899,9211,2019-11-20,9900.0,2019-10-21,0,personal
305,2900,9166,2019-11-20,9900.0,2019-10-21,0,personal
306,2908,10618,2019-11-21,100.0,2019-10-21,0,personal
307,2934,8106,2019-11-21,9900.0,2019-10-22,0,personal
308,2935,7960,2019-11-21,9900.0,2019-10-22,0,personal
309,2936,2830,2019-11-21,9900.0,2019-10-22,0,personal
310,2937,8113,2019-11-21,9900.0,2019-10-22,0,personal
311,2938,9280,2019-11-21,9900.0,2019-10-22,0,personal
312,2939,10664,2019-11-22,100.0,2019-10-22,0,personal
313,2940,7452,2019-11-22,100.0,2019-10-22,0,personal
314,2945,10674,2019-11-22,100.0,2019-10-22,0,personal
315,2970,9805,2019-11-23,100.0,2019-10-23,0,personal
316,2973,10557,2019-11-23,100.0,2019-10-23,0,personal
