,user_id,period_sub,total_fee,refund,personal,smallBiz,middleBiz,bigBiz,sign_in_count,period_use,sfx_free,sfx_peid,song_free,song_peid,etc,kids,vlog,story,beauty,review,talk,game,pet,eating,drone,corporate,freelancer,individual,student,unknown
1986,53004,485 days,148600.0,0.0,17,0,0,0,139.0,619 days,17.0,179.0,78.0,570.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1987,53006,14 days,0.0,0.0,1,0,0,0,6.0,25 days,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1988,53023,71 days,19800.0,0.0,3,0,0,0,8.0,83 days,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1989,53032,14 days,0.0,0.0,1,0,0,0,3.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1990,53037,125 days,39600.0,0.0,5,0,0,0,45.0,255 days,3.0,16.0,26.0,47.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1991,53044,14 days,0.0,0.0,1,0,0,0,5.0,14 days,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1992,53063,130 days,39600.0,0.0,5,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1993,53102,41 days,9900.0,0.0,2,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1994,53104,159 days,49500.0,0.0,6,0,0,0,65.0,150 days,0.0,6.0,59.0,60.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1995,53145,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1996,53156,14 days,0.0,0.0,1,0,0,0,5.0,4 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1997,53163,130 days,39600.0,0.0,5,0,0,0,9.0,58 days,0.0,0.0,0.0,5.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1998,53175,601 days,198000.0,0.0,21,0,0,0,6.0,14 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,53190,159 days,49500.0,0.0,6,0,0,0,5.0,8 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2000,53191,41 days,9900.0,0.0,2,0,0,0,4.0,27 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,53193,31 days,49000.0,0.0,0,1,0,0,4.0,3 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2002,53198,41 days,9900.0,0.0,2,0,0,0,3.0,32 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2003,53207,100 days,29700.0,0.0,4,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
