,id,user_id,name,unsubscribed_at
70,795437,86652,Unsubscribe Request,2022-03-14
71,801927,89519,Unsubscribe Request,2022-03-14
72,802939,94113,Unsubscribe Request,2022-03-14
73,804796,74338,Unsubscribe Request,2022-03-14
74,805980,91794,Unsubscribe Request,2022-03-14
75,809832,95013,Unsubscribe Request,2022-03-14
76,814157,95025,Unsubscribe Request,2022-03-14
77,817850,55909,Unsubscribe Request,2022-03-15
78,819088,93567,Unsubscribe Request,2022-03-15
79,819110,93567,Unsubscribe Request,2022-03-15
80,825747,91573,Unsubscribe Request,2022-03-15
81,835946,95093,Unsubscribe Request,2022-03-15
82,839559,95031,Unsubscribe Request,2022-03-15
83,839563,95031,Unsubscribe Request,2022-03-15
84,846684,92227,Unsubscribe Request,2022-03-16
85,855107,12078,Unsubscribe Request,2022-03-16
86,859454,84476,Unsubscribe Request,2022-03-16
87,860360,70215,Unsubscribe Request,2022-03-16
88,861607,71730,Unsubscribe Request,2022-03-16
89,872146,94627,Unsubscribe Request,2022-03-17
90,874599,92356,Unsubscribe Request,2022-03-17
91,876867,92625,Unsubscribe Request,2022-03-17
92,876870,92625,Unsubscribe Request,2022-03-17
93,876872,92625,Unsubscribe Request,2022-03-17
94,878820,65862,Unsubscribe Request,2022-03-17
95,880916,94114,Unsubscribe Request,2022-03-17
96,887684,94036,Unsubscribe Request,2022-03-17
97,891641,94785,Unsubscribe Request,2022-03-17
98,892778,93145,Unsubscribe Request,2022-03-17
99,894291,95267,Unsubscribe Request,2022-03-17
100,894293,95267,Unsubscribe Request,2022-03-17
101,898381,95280,Unsubscribe Request,2022-03-18
102,901432,75263,Unsubscribe Request,2022-03-18
103,901642,67130,Unsubscribe Request,2022-03-18
104,914138,89951,Unsubscribe Request,2022-03-18
105,919251,95250,Unsubscribe Request,2022-03-18
106,927746,8837,Unsubscribe Request,2022-03-19
107,928434,78597,Unsubscribe Request,2022-03-19
108,928973,50271,Unsubscribe Request,2022-03-19
109,937521,95418,Unsubscribe Request,2022-03-19
110,941062,95363,Unsubscribe Request,2022-03-19
